94107,$4000,/ 1br - 1056ft
94538,$1868,/ 1br - 620ft
95014,$4241,/ 3br - 1508ft
95070,$6595,/ 2br - 1650ft
95035,$1350, 
94538,$1816,/ 1br - 520ft
94538,$2050,/ 1br - 730ft
95054,$2976,/ 2br - 1070ft
94903,$2295,/ 2br - 
94040,$3500,/ 2br - 1200ft
94590,$2000,/ 2br - 1500ft
94519,$1500,/ 1br - 
94519,$1500,/ 1br - 
94519,$1500,/ 1br - 
95051,$3594,/ 2br - 1054ft
95051,$2874,/ 1br - 686ft
95051,$2874,/ 1br - 686ft
94002,$1120,/ 1br - 
95119,$3695,/ 5br - 1842ft
94611,$1295,/ 560ft
95062,$3500,/ 4br - 1643ft
95062,$3500,/ 4br - 1643ft
95062,$3500,/ 4br - 1643ft
94553,$1881,/ 2br - 803ft
94553,$1881,/ 2br - 803ft
95050,$2352,/ 1br - 725ft
95050,$2352,/ 1br - 725ft
94590,$1360,/ 3br - 
94590,$1360,/ 3br - 
94089,$3150,/ 2br - 
94089,$3150,/ 2br - 
94109,$6250,/ 2br - 1675ft
94607,$3840,/ 2br - 1077ft
94550,$2420,/ 2br - 896ft
94550,$2420,/ 2br - 896ft
95014,$2742,/ 2br - 825ft
95054,$2650,/ 1br - 796ft
95054,$2650,/ 1br - 796ft
95008,$3175,/ 2br - 1141ft
94087,$2795,/ 2br - 655ft
95129,$2198,/ 1br - 
95129,$2198,/ 1br - 
95129,$2198,/ 1br - 
94608,$3645,/ 2br - 1290ft
94129,$6500,/ 4br - 
94901,$2076, 
94939,$3800,/ 2br - 1100ft
94939,$3800,/ 2br - 1100ft
95134,$2610,/ 1br - 688ft
95050,$1874,/ 1br - 536ft
94070,$1125,/ 2br - 1050ft
94070,$1125,/ 2br - 1050ft
94598,$2475,/ 1br - 773ft
94583,$2751,/ 2br - 1175ft
94107,$4550,/ 2br - 1365ft
94941,$2999,/ 1br - 1000ft
95407,$2090,/ 2br - 850ft
94602,$1500,/ 470ft
